Jurisdiction,Average Math Score,ELL_x,White_x,Black_x,Hispanic_x,Low SES_x,Male_x,Female_x,ESE_x,Average Reading Score,ELL_y,White_y,Black_y,Hispanic_y,Low SES_y,Male_y,Female_y,ESE_y
,236.0,216.0,246.0,217.0,224.0,223.0,239.0,233.0,212.0,217,190.0,227,199.0,205.0,203,214,221,183
,230.0,216.0,240.0,213.0,222.0,218.0,233.0,228.0,211.0,213,196.0,224,197.0,204.0,201,208,218,178
,226.0,204.0,242.0,,228.0,213.0,224.0,228.0,201.0,204,187.0,220,,214.0,188,197,210,165
,232.0,197.0,247.0,215.0,221.0,218.0,235.0,229.0,206.0,215,164.0,229,205.0,205.0,201,213,218,182
,228.0,205.0,236.0,207.0,219.0,221.0,230.0,227.0,199.0,212,174.0,221,188.0,201.0,200,208,217,172
,230.0,211.0,245.0,215.0,219.0,218.0,234.0,227.0,207.0,214,187.0,231,194.0,202.0,201,211,218,177
,236.0,209.0,247.0,224.0,219.0,220.0,239.0,233.0,211.0,223,188.0,235,204.0,205.0,203,221,225,188
,236.0,210.0,248.0,211.0,219.0,219.0,237.0,236.0,210.0,219,190.0,233,198.0,199.0,201,219,219,184
,226.0,211.0,236.0,212.0,218.0,210.0,227.0,224.0,201.0,208,189.0,221,195.0,199.0,189,204,212,175
,241.0,216.0,253.0,225.0,236.0,233.0,244.0,238.0,226.0,225,197.0,234,207.0,222.0,215,221,228,203
,235.0,220.0,246.0,222.0,229.0,225.0,236.0,234.0,216.0,216,193.0,229,202.0,207.0,204,211,221,184
,237.0,225.0,244.0,,230.0,225.0,238.0,235.0,195.0,219,199.0,232,,215.0,204,213,225,164
,236.0,205.0,241.0,,219.0,226.0,241.0,231.0,210.0,215,180.0,218,,202.0,203,211,219,161
,237.0,219.0,248.0,214.0,222.0,221.0,240.0,234.0,214.0,218,195.0,228,194.0,205.0,201,217,219,182
,239.0,220.0,246.0,220.0,224.0,229.0,243.0,235.0,218.0,217,199.0,224,194.0,210.0,208,216,219,186
,240.0,204.0,245.0,211.0,223.0,226.0,243.0,237.0,209.0,218,172.0,223,193.0,201.0,204,216,220,173
,235.0,217.0,243.0,209.0,219.0,220.0,237.0,233.0,211.0,215,194.0,222,195.0,200.0,200,211,218,179
,234.0,215.0,237.0,210.0,227.0,224.0,236.0,232.0,209.0,217,190.0,220,200.0,207.0,206,215,218,189
,229.0,199.0,243.0,216.0,222.0,221.0,230.0,227.0,208.0,212,,227,197.0,210.0,204,208,217,178
